"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should measure Time Series Daily API response time - compact","chromium","Sun Sep 07 18:34:41 UTC 2025","passed","Sun Sep 07 18:34:41 UTC 2025","Core Stock API Performance Tests - Using Enhanced Function","","",""
"","3","Validate Time Series Daily - compact size","chromium","Sun Sep 07 18:34:40 UTC 2025","passed","Sun Sep 07 18:34:40 UTC 2025","Time Series Daily API Tests","","",""
"","1","Validate Time Series Daily - full size","chromium","Sun Sep 07 18:34:40 UTC 2025","passed","Sun Sep 07 18:34:40 UTC 2025","Time Series Daily API Tests","","",""
"","1","should measure Company Overview API response time","chromium","Sun Sep 07 18:34:41 UTC 2025","passed","Sun Sep 07 18:34:41 UTC 2025","Company Overview API Performance Tests - Using Enhanced Function","","",""
"","1","Validate Company Overview API Response Structure","chromium","Sun Sep 07 18:34:41 UTC 2025","passed","Sun Sep 07 18:34:41 UTC 2025","Company Overview API Tests","","",""
