"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","176","Validate Time Series Daily - compact size","chromium","Wed Sep 10 00:42:40 UTC 2025","passed","Wed Sep 10 00:42:40 UTC 2025","Time Series Daily API Tests","","",""
"","80","Validate Company Overview API Response Structure","chromium","Wed Sep 10 00:42:40 UTC 2025","passed","Wed Sep 10 00:42:40 UTC 2025","Company Overview API Tests","","",""
"","311","Validate Time Series Daily - full size","chromium","Wed Sep 10 00:42:40 UTC 2025","passed","Wed Sep 10 00:42:40 UTC 2025","Time Series Daily API Tests","","",""
"","55","should measure Company Overview API response time","chromium","Wed Sep 10 00:42:40 UTC 2025","passed","Wed Sep 10 00:42:40 UTC 2025","Company Overview API Performance Tests - Using Enhanced Function","","",""
"","76","should measure Time Series Daily API response time - compact","chromium","Wed Sep 10 00:42:40 UTC 2025","passed","Wed Sep 10 00:42:40 UTC 2025","Core Stock API Performance Tests - Using Enhanced Function","","",""
