"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","700","Validate Time Series Daily - full size","chromium","Thu Sep 11 00:43:47 UTC 2025","passed","Thu Sep 11 00:43:48 UTC 2025","Time Series Daily API Tests","","",""
"","107","should measure Company Overview API response time","chromium","Thu Sep 11 00:43:48 UTC 2025","passed","Thu Sep 11 00:43:48 UTC 2025","Company Overview API Performance Tests - Using Enhanced Function","","",""
"","479","Validate Time Series Daily - compact size","chromium","Thu Sep 11 00:43:47 UTC 2025","passed","Thu Sep 11 00:43:47 UTC 2025","Time Series Daily API Tests","","",""
"","126","should measure Time Series Daily API response time - compact","chromium","Thu Sep 11 00:43:48 UTC 2025","passed","Thu Sep 11 00:43:48 UTC 2025","Core Stock API Performance Tests - Using Enhanced Function","","",""
"","148","Validate Company Overview API Response Structure","chromium","Thu Sep 11 00:43:48 UTC 2025","passed","Thu Sep 11 00:43:48 UTC 2025","Company Overview API Tests","","",""
