"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","134","should measure Time Series Daily API response time - compact","chromium","Sat Sep 13 00:40:43 UTC 2025","passed","Sat Sep 13 00:40:43 UTC 2025","Core Stock API Performance Tests - Using Enhanced Function","","",""
"","938","Validate Time Series Daily - full size","chromium","Sat Sep 13 00:40:42 UTC 2025","passed","Sat Sep 13 00:40:43 UTC 2025","Time Series Daily API Tests","","",""
"","112","should measure Company Overview API response time","chromium","Sat Sep 13 00:40:43 UTC 2025","passed","Sat Sep 13 00:40:43 UTC 2025","Company Overview API Performance Tests - Using Enhanced Function","","",""
"","355","Validate Time Series Daily - compact size","chromium","Sat Sep 13 00:40:41 UTC 2025","passed","Sat Sep 13 00:40:42 UTC 2025","Time Series Daily API Tests","","",""
"","145","Validate Company Overview API Response Structure","chromium","Sat Sep 13 00:40:43 UTC 2025","passed","Sat Sep 13 00:40:43 UTC 2025","Company Overview API Tests","","",""
